District,Pupils,Instruction PPE,Gen Admin $,Gen Admin PPE,School Admin PPE,Central Support PPE,All Admin PPE,Total PPE,Total $
Norwich,5174,17331,4124801,1278,766,523,2567,23658,122405617
Orange,1261,11259,728893,582,882,226,1690,20523,25879076
Brooklyn,1161,14816,544990,647,1077,704,2428,20250,23509756
Woodstock,1129,15547,435704,580,1312,836,2728,20916,23614134
Winchester,1104,17852,588208,1012,1347,996,3355,23264,25683893
Mansfield,978,16334,1018197,1057,2427,907,4391,27651,27042585
Easton,896,15025,384183,430,1988,475,2893,23151,20743118
Woodbridge,872,13033,1004975,1166,1043,654,2863,20768,18109583
Redding,858,20270,407897,479,1746,498,2723,30448,26124563
Hebron,688,12214,528662,776,1350,985,3111,21439,14750205
Canterbury,672,13232,329560,649,1109,399,2157,19867,13350956
Columbia,618,12892,762832,1734,1346,442,3522,22557,13940271
Preston,614,15181,708734,1668,1147,229,3044,25820,15853222
Lisbon,588,13916,235526,570,1015,744,2329,20397,11993644
Salem,556,12390,1142084,2936,1667,1064,5667,21747,12091064
Pomfret,512,16071,273307,823,1538,691,3052,23489,12026375
Marlborough,465,12288,271626,593,1386,439,2418,19368,9006345
Sterling,451,14260,306950,1020,1303,474,2797,21100,9516287
New Hartford,441,15253,883756,2060,1368,23,3451,24538,10821454
Bethany,432,12622,776705,1806,1091,5,2902,19937,8612972
Sprague,387,15145,218876,862,1053,705,2620,21209,8207793
Willington,382,18501,362778,975,1395,1117,3487,28966,11065135
Ashford,354,15955,212548,606,2025,1367,3998,26551,9399056
Sherman,344,18859,473425,2067,3171,935,6173,29686,10212002
Voluntown,311,15780,340326,1576,1183,586,3345,25110,7809284
Essex,309,18811,403943,1316,2001,334,3651,28206,8715673
Salisbury,289,21081,285335,991,1972,615,3578,30989,8955888
Bozrah,256,15467,204441,1136,1492,989,3617,25699,6578826
Franklin,252,16195,420895,2275,671,471,3417,23258,5861016
North Canaan,249,18545,255426,1043,1256,629,2928,25810,6426734
Andover,241,11579,173815,727,1018,586,2331,19009,4581062
Barkhamsted,229,13095,271099,1194,1297,462,2953,21860,5005939
Eastford,221,16570,203288,1175,1243,76,2494,22476,4967104
Deep River,219,18062,314781,1666,2752,559,4977,28818,6311066
Chester,215,17600,365028,1844,2375,-129,4090,28172,6057080
Hartland,195,19155,167232,1382,2363,1162,4907,30256,5899929
Kent,181,23439,281439,1564,1858,564,3986,35130,6358480
Chaplin,164,14345,163204,1088,1511,779,3378,26109,4281853
Scotland,103,17492,143166,1507,1580,867,3954,26826,2763047
Sharon,102,28928,121416,1252,4554,856,6662,48747,4972164
Cornwall,89,25534,84702,985,4781,777,6543,40205,3578274
Hampton,84,14754,106893,1464,2929,1056,5449,27773,2332911
Union,74,14998,42217,862,0,3240,4102,26736,1978472
Canaan,73,24982,92140,1316,4020,779,6115,39520,2884994
Colebrook,66,21294,163004,2672,2794,1476,6942,33373,2202587
Norfolk,64,23710,225687,3700,4256,0,7956,46016,2945054
