Rank,District,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,5-yr growth (%)
1,Union,23974,23618,26791,22552,24876,25101,4.7
2,Eastford,21679,23280,24032,22440,22387,23113,6.6
3,Canterbury,17852,19748,18929,18354,20188,19414,8.7
4,Winchester,20774,21328,21947,20231,22430,22790,9.7
5,Bethany,18944,20210,19582,18948,19909,20824,9.9
6,Sharon,41996,43367,53217,48021,49798,46587,10.9
7,Hampton,26673,28463,28172,28438,29920,30485,14.3
8,Bozrah,21497,24417,23181,24663,26532,24587,14.4
9,Cornwall,35464,32212,31316,37019,36114,41009,15.6
10,Andover,21078,22445,22563,22816,23439,24643,16.9
11,Columbia,19001,19866,19767,19441,22054,22285,17.3
12,Woodbridge,18089,19270,19208,20106,20269,21341,18.0
13,Chaplin,25151,27857,25806,26683,27203,29840,18.6
14,Franklin,19141,24172,21297,19381,18889,22804,19.1
15,North Canaan,24462,26169,27336,28911,28891,29178,19.3
16,Orange,18047,19348,19145,19688,20506,21529,19.3
17,Salisbury,26764,26598,27843,30451,30154,32549,21.6
18,Canaan,33028,34948,35612,36169,36174,40210,21.7
19,Lisbon,16692,17097,18456,17897,19074,20484,22.7
20,Sterling,15774,17695,18288,18570,18918,19617,24.4
21,Mansfield,20693,21752,22756,22443,24052,25808,24.7
22,Voluntown,20599,22084,21755,22203,24130,25773,25.1
23,Sprague,16763,18639,18697,18426,18478,21041,25.5
24,Pomfret,17688,20107,18347,19271,20725,22353,26.4
25,Salem,16384,18580,19163,19178,19736,20811,27.0
26,Ashford,20649,21961,22069,23388,25165,26285,27.3
27,Barkhamsted,19774,21904,23370,23978,24064,25222,27.6
28,Redding,24334,26979,27299,28642,28976,31257,28.4
29,Brooklyn,15324,16788,17099,16531,18411,19711,28.6
30,Scotland,23967,27455,26913,26636,27531,30934,29.1
31,Woodstock,15127,16095,16525,16624,18742,19707,30.3
32,Preston,17890,20346,20057,19765,21244,23357,30.6
33,Marlborough,17258,18829,19672,19681,21765,22562,30.7
34,Sherman,22165,24572,25335,24830,26415,29218,31.8
35,Easton,19936,21932,21940,22941,24438,26374,32.3
36,Kent,28783,30153,30015,35652,35336,38550,33.9
37,Hartland,22530,23002,23916,27543,30356,30316,34.6
38,Hebron,18230,19476,20385,20693,22463,24722,35.6
39,Chester,22288,22495,23289,24778,27734,30473,36.7
40,Willington,19732,22332,22595,22410,24482,27013,36.9
41,Colebrook,22134,24431,25564,27449,29074,30812,39.2
42,New Hartford,19166,21105,22002,22766,23419,26815,39.9
43,Norfolk,25971,26562,30452,31691,36808,38465,48.1
44,Deep River,20737,22479,24489,26974,28498,30816,48.6
45,Essex,21499,23507,25055,27919,28889,32737,52.3

,Peer median (excludes Andover),20671,22208,22676,22659,24284,25790,24.8

"Source: CT SDE Net Current Expenditures Per Pupil (NCEP), state basis, preschool included; Norwich excluded; 45 elementary-only districts; 2019-20 through 2024-25."
Growth = 2024-25 / 2019-20 - 1. Rank 1 = slowest five-year growth.
"Reference: Social Security COLA +23.3%, CPI-U +23.1% over the same period."
